px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.64245	-7.15508	-2.74362	2.23242	0.158602	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	1.04557
8.74961	-7.27417	-2.79524	2.2562	0.184383	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	6.32043
8.804	-7.42375	-2.80481	2.22589	0.143884	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	1.15598
8.8687	-7.55009	-2.76441	2.20716	0.108086	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	5.16331
8.92766	-7.69884	-2.76605	2.1826	0.0768862	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.623446
9.00514	-7.81714	-2.77368	2.18441	0.0765662	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.325125
9.04924	-7.96281	-2.77793	2.15281	0.0404902	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0.860302
9.08709	-8.08892	-2.72194	2.11782	-0.0100359	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	7.28847
9.13909	-8.23082	-2.7193	2.0961	-0.0316182	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.390862
9.214	-8.35337	-2.73486	2.0999	-0.0222109	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.591731
9.24798	-8.49697	-2.73756	2.06729	-0.0539812	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0.721968
9.28407	-8.63262	-2.69973	2.0304	-0.100838	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	4.42094
9.32557	-8.77457	-2.69585	2.00688	-0.119112	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.369171
9.46962	-8.89733	-2.79771	2.08957	0.00904724	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	32.306
9.50748	-9.05134	-2.81078	2.05819	-0.0223927	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0.857254
9.54968	-9.17721	-2.78632	2.03452	-0.0534638	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	2.11422
9.59181	-9.31653	-2.79031	2.01407	-0.0712041	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.235664
9.62695	-9.44251	-2.76832	1.98888	-0.10043	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.52007
9.64569	-9.59406	-2.77484	1.95183	-0.132402	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0.786057
9.7121	-9.72782	-2.79517	1.95966	-0.110385	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.18512
9.73164	-9.87983	-2.8025	1.92572	-0.138589	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.636569
9.74609	-10.0234	-2.76971	1.88133	-0.189815	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	3.68255
9.7811	-10.1672	-2.76527	1.8645	-0.196447	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.137781
9.81943	-10.3043	-2.76642	1.85029	-0.203153	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.540924
9.8302	-10.4505	-2.77047	1.81923	-0.22373	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.374507
9.87328	-10.596	-2.77699	1.81763	-0.206776	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.841707
9.8947	-10.7496	-2.77816	1.79515	-0.217707	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.117327
9.89828	-10.8988	-2.75777	1.75172	-0.262668	9.88465	-10.9383	9.85	-10.9	0	-2.73074	2.18897
9.90301	-11.0525	-2.75748	1.72227	-0.277526	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.265362
9.91841	-11.1881	-2.75589	1.70531	-0.281009	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.0645061
9.91243	-11.334	-2.76065	1.67404	-0.297578	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.28479
9.92599	-11.4738	-2.76396	1.65987	-0.295714	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.0683812
9.91093	-11.6202	-2.7689	1.62632	-0.313715	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.377498
9.83478	-11.7548	-2.72612	1.51598	-0.452322	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	16.4794
9.80996	-11.8874	-2.722	1.48328	-0.462506	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.294818
9.78416	-12.0204	-2.71739	1.44794	-0.479276	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.249423
9.74004	-12.1588	-2.72106	1.40654	-0.495822	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.433821
9.66718	-12.2896	-2.70849	1.32176	-0.584335	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	5.38315
9.61557	-12.413	-2.70271	1.2819	-0.595168	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.45732
9.48971	-12.5254	-2.68487	1.1512	-0.741552	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	12.2852
9.41957	-12.6357	-2.67629	1.10498	-0.751303	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0.555499
9.33607	-12.761	-2.67475	1.04528	-0.778184	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.383606
9.2537	-12.8701	-2.66122	0.996629	-0.78575	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.659755
9.07492	-12.9484	-2.66516	0.820342	-0.988459	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	22.2244
8.95414	-13.0327	-2.66518	0.752011	-1.00591	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	1.02949
8.80285	-13.1096	-2.67195	0.642525	-1.08401	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	3.09404
8.67966	-13.1731	-2.65619	0.574859	-1.09469	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0.884335
8.52801	-13.2195	-2.67012	0.463549	-1.17863	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	3.67508
8.39808	-13.2587	-2.66215	0.393649	-1.19029	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0.637424
8.21502	-13.2732	-2.68718	0.252965	-1.30226	8.22926	-13.1698	8.2	-13.15	-2.72741	0	6.96012
8.06466	-13.282	-2.67608	0.167784	-1.31736	8.03583	-13.1513	8.05	-13.15	-2.72742	0	0.937781
7.90584	-13.2836	-2.68186	0.0732068	-1.3474	7.82914	-13.0525	7.9	-13.15	-2.72986	0	1.04272
7.75971	-13.2693	-2.67034	-0.0115427	-1.36035	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.579449
7.66148	-13.3083	-2.62362	-0.00486724	-1.2472	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	9.38524
7.51865	-13.2954	-2.63022	-0.0749398	-1.25241	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0.360978
7.37352	-13.277	-2.62574	-0.141259	-1.24439	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.782404
7.22145	-13.2503	-2.63468	-0.211968	-1.24415	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.202329
7.07819	-13.1826	-2.66153	-0.316438	-1.30307	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	3.44898
6.93799	-13.1414	-2.677	-0.379252	-1.29683	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.417456
6.80523	-13.0938	-2.6709	-0.438986	-1.28133	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.339747
6.65601	-13.0381	-2.6897	-0.50034	-1.26796	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.567073
6.53875	-13.0119	-2.62827	-0.509856	-1.17736	6.40137	-13.0799	6.4	-13.05	-2.72678	0	10.6241
6.3859	-12.966	-2.65369	-0.550229	-1.14784	6.26174	-13.0534	6.25	-13.05	-2.72678	0	1.29686
6.26309	-12.9115	-2.62947	-0.584398	-1.10573	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	2.14521
6.10446	-12.8622	-2.66087	-0.612626	-1.0675	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	1.93742
5.9899	-12.7484	-2.71584	-0.70658	-1.12947	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	6.81155
5.84209	-12.6862	-2.75036	-0.730223	-1.09074	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	2.19896
5.73084	-12.618	-2.69662	-0.7487	-1.028	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	8.25088
5.58011	-12.5526	-2.72015	-0.765179	-0.984398	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	1.78549
5.46843	-12.4366	-2.74393	-0.828242	-0.998959	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	1.07346
5.30974	-12.3672	-2.77138	-0.832622	-0.944552	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	2.55578
5.20353	-12.2703	-2.75413	-0.866152	-0.920271	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	1.05655
5.06202	-12.1843	-2.7726	-0.878333	-0.879454	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	1.33329
4.96868	-12.0716	-2.78296	-0.921847	-0.878842	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.535289
4.85036	-11.9878	-2.79216	-0.933117	-0.845006	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.89514
4.75824	-11.8599	-2.8031	-0.981297	-0.848877	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.265097
4.66702	-11.7349	-2.8057	-1.02115	-0.841633	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.0388011
4.59651	-11.6254	-2.7523	-1.05226	-0.818689	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	5.50805
4.52514	-11.5044	-2.7436	-1.09241	-0.814827	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.256398
4.44175	-11.3386	-2.85887	-1.15044	-0.842465	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	26.1672
4.40415	-11.194	-2.85922	-1.20844	-0.858681	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.201963
4.38728	-11.0623	-2.78525	-1.27061	-0.876096	4.43713	-11.024	4.45	-11.05	0	1.81614	10.7647
4.37238	-10.9103	-2.77654	-1.33742	-0.896337	4.45136	-10.93	4.45	-10.95	0	1.81612	0.384101
